,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,ibrahimcsyed,Support Aurangabd Cricket development,india,462,52,493,13,"Thank you Hon. CM @OfficeofUT ji &amp; Hon. Minister @AUThackeray ji for guiding us
Today Hon. Minister &amp; our VibhagPramukh @advanilparab ji visited Khar Danda Jetty to meet our Koli citizens whose boats were damaged because of #CycloneTaukatae also offered a helping hand https://t.co/g5jMgID6R6",[]
1,IsranRar1,Just Hate Bigot kind of people's,,743,191,2238,0,"@OfficeofUT @CMOMaharashtra sir wat about traveling in BEST BUSSES restrictions???
Still 50% allowed yaa some changes??? Plz",[]
2,Ravi96466730,,,144,23,212,53,"@AK4784877825 @somitsenTOI @nnatuTOI @Shilparanipeta @richapintoi @Uber @Uber_India @UberINSupport @prabhjeet_s @dkhos @Zubair99619529 @TOIMumbai @CNBCTV18Live @avinashdhakne @CPMumbaiPolice @adv_anilparab @advanilparab 
@OfficeofUT @CMOMaharashtra
@UdhavThackeray @Dwalsepatil
@OfficeOfNG @nitin_gadkari 
@MORTHIndia Action  PLS",[]
3,VishnukrSFC,"social worker 
🅜︎🅞︎🅜︎ 🅘︎🅢︎ Ⓜ︎Ⓨ︎ Ⓛ︎Ⓘ︎Ⓕ︎Ⓔ︎
M̆̈ŭ̈s̆̈ĭ̈c̆̈ l̆̈ŏ̈v̆̈ĕ̈r̆̈",muzzaffarpur ,1332,1002,4593,84,This is the reality of @OfficeofUT Government. This Vasooli government is minting money under the name of Environment activism. Where is @AUThackeray now? https://t.co/2zrSmIgCHH,[]
4,wilfuldefltr,in love with 90's songs.India 4 ever in my heart.,New Zealand,847,342,19656,1,@ek_aalu_bonda @OfficeofUT @priyankac19 For ss n congi womens ..only empowerment is calling of bjp spokesperson and supporters as #गंदी_नाली_का_कीड़ा .. that,[]
5,NitinTilokani3,,,13,5,1268,9,"Dear #UddhavThackeray if we've shut our businesses for this long, govt can too shut our light bills, emis, rents, school fees etc. Cause we're all together in this 
#maharashtralockdown @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks #Relief",['UddhavThackeray']
6,Mubarak77039773,munamuna,,3,17,1802,16,@shahnawazs83 @AK4784877825 @somitsenTOI @nnatuTOI @Shilparanipeta @richapintoi @Uber @Uber_India @UberINSupport @prabhjeet_s @dkhos @Zubair99619529 @TOIMumbai @CNBCTV18Live @avinashdhakne @CPMumbaiPolice @adv_anilparab @advanilparab @OfficeofUT @CMOMaharashtra @UdhavThackeray @Dwalsepatil @OfficeOfNG @nitin_gadkari @MORTHIndia Replay to,[]
7,dhakras,,Pune,190,167,4658,11,"@DMHospitalPune  #COVID19Vaccination centre at BSM school, Mayur colony, Pune.   
Second phase:
31.5.21. 10 am.
11000 = Total vaccinations in 6 days +1hour.
&gt;1000 = Total charity doses in 6days + 1 hour. Equivalent of &gt; Rs. 900,000. 

@mangeshkarlata @CMOMaharashtra @OfficeofUT",['COVID19Vaccination']
8,gauripokhariyal,"A full time Mommy and a working woman! Naval wife and air force daughter. Pandemic got me Baking breads, now a passion!","Pune, India",2038,2766,18816,11,"@DMHospitalPune  #COVID19Vaccination centre at BSM school, Mayur colony, Pune.   
Second phase:
31.5.21. 10 am.
11000 = Total vaccinations in 6 days +1hour.
&gt;1000 = Total charity doses in 6days + 1 hour. Equivalent of &gt; Rs. 900,000. 

@mangeshkarlata @CMOMaharashtra @OfficeofUT",['COVID19Vaccination']
9,MilanSRoy3,Medico 💉,,107,77,8497,20,"Save us now, so that we can save you in future 🙏
@AmitV_Deshmukh @DrRPNishank  @PMOIndia  @anubha1812  @CMOMaharashtra  @OfficeofUT  @SonuSood  @BeingSalmanKhan  @dhruv_rathee  @SrBachchan  @AnupamPKher 
#muhsonline #muhsonlineexams https://t.co/pvRnseEhna",[]
10,AkshitS20225598,,,0,0,2,0,@UdhavThackeray @OfficeofUT @IqbalSinghChah2 @mybmc - before few days back there was discussion for giving flu shots to children below age 5 for this year at least by the suggestion of pediatrician head. So I just wanted to know when can we expect some updates on the same,[]
11,Avinaash_krishh,sanatani,,325,23,591,0,@SunainaHoley @Dev_Fadnavis @OfficeofUT Devendra Fadnavis.  Even every kid knows it!,[]
12,anantgupta1205,"आदतें बुरी नहीं, शौक ऊँचे हैं,
वर्ना किसी ख्वाब की इतनी औकात नहीं
कि हम देखे और पूरा ना हो।
|| JAI SHREE RAM ||",,33,29,49,1,"Urgently need AMPHONEX at Nagpur for friend's Mother .
Patient's Name - Sangeeta Pandey.
@SonuSood  @SoodFoundation @narendramodi @drharshvardhan @OfficeofUT https://t.co/6irEHumu9Y",[]
13,nikhilbhaijaan,Ugte hue suraj ko kaun rok sakta hain,Mumbai,778,123,14888,5,"The Mumbai Metro will start soon. I can already see a massive propaganda machinery being unveiled by @OfficeofUT to take credit for it.

He's done nothing. Absolutely nothing. Yet, will take credit for each and everything. The truth has to reach the masses.",[]
14,BreakiNews,"Stupidity will be blocked w/o notice. No discrimination based on caste, creed, sex & colour tolerated. Creative abuses OK.",Bhaktistan,1440,4782,839975,2,@Vidyut @OfficeofUT Maharashtra literacy rate is good and the dr. Patient ratio might also be higher compared to other states. So more cases get reported is also a fact @rajeshtope11,[]
15,Shaikh_Mohsin12,"Be Positive..Infra Enthusiastic.. Aspirants...
Always Nation First..Die Hard Indian Army Fan..🇮🇳🇮🇳🇮🇳","Pune, Maharashtra",2490,1655,11397,5,"The Mumbai Metro will start soon. I can already see a massive propaganda machinery being unveiled by @OfficeofUT to take credit for it.

He's done nothing. Absolutely nothing. Yet, will take credit for each and everything. The truth has to reach the masses.",[]
16,Anuj989898,,,1313,49,5704,2,@OfficeofUT @AUThackeray  pls look into this matter. Pls do something for Mira Bhayandar also.,[]
17,AshishM88285119,"I am just like a Mirror, All clear on both sides",,90,8,123,0,"@garimakataria @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks The Government Won't listen to us, They Are The Three Monkeys Of Modi Ji, Sahi Mat Dekho, Sahi Mat Suno, Jhoote Waade Karo",[]
18,Tweets4Tarak,"Ardent Fan of Tarak, Kohli😍 Katte kaale varaku only TDPian #TDPTwitter🤘💪",Ekkada Unte Akkada,255,427,50611,148,"The Tattoo Murders girl become Parking Plaza Supervisor got vaccinated by @OfficeofUT Government at Thane. 

Is she above 45Years or she is connected with Shivsena ?? 
@MeerraChopra https://t.co/hNmmzQFMr0",[]
19,SriSaiSaran2,"hatred?block me!
RT certainly does not mean endorsement","कोयम्बटूर, भारत",109,12,576,15,"#NewsAlert | Maharashtra CM Uddhav Thackeray (@OfficeofUT) suggests on Class 12 exams; says, 'Shouldn't let guard down. Centre must devise a formula'. https://t.co/RK4WPDNBIB",['NewsAlert']
20,AnitaLohia1,,,92,19,1485,0,"@MaheshM49096467 @PMOIndia @narendramodi @nsitharamanoffc @DasShaktikanta @FinMinIndia @RBI @AmitShah @Dev_Fadnavis @IndianExpress @TOIMumbai @HTMumbai @ABPNews @ndtv Sir please RESOLVE #pmcbankkcrisis on TOP PRIORITY 21 months 155 deaths we are Still waiting to GET OUR OWN TAX MONEY 
@DFS_India @OfficeofUT @supriya_sule @udaykotak @bsindia @livemint @the_hindu @htTweets @mid_day @PTI_News @ANI",['pmcbankkcrisis']
21,Shahidhusain111,"Founder- Science Being, Astrophile","Mumbai, India",219,87,3954,31,"Please stop charging for light bills, taxes, school/college fees if there is no source of income for businessman while lockdown. @OfficeofUT
@CMOMaharashtra
#maharashtralockdown",[]
